propertyTaxRate,garageSpaces,hasAssociation,hasGarage,hasSpa,hasView,latestPrice,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,avgSchoolDistance,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,days_since_sale,log_lotSizeSqFt,log_livingAreaSqFt,log_avgSchoolSize,yearsOld_sq,avgSchoolRating_sq,word_count_good,word_count_bad,hood_ALLANDALE,hood_BARTON HILLS,hood_BOULDIN CREEK,hood_BRENTWOOD,hood_CENTRAL EAST AUSTIN,hood_CHESTNUT,hood_CORONADO HILLS,hood_CRESTVIEW,hood_DAWSON,hood_EAST CESAR CHAVEZ,hood_EAST CONGRESS,hood_EAST OAK HILL,hood_FRANKLIN PARK,hood_GALINDO,hood_GARRISON PARK,hood_GEORGIAN ACRES,hood_GOVALLE,hood_HANCOCK,hood_HERITAGE HILLS,hood_HIGHLAND,hood_HOLLY,hood_HYDE PARK,hood_JOHNSTON TERRACE,hood_MCKINNEY,hood_MLK,hood_MLK-183,hood_MONTOPOLIS,hood_NORTH AUSTIN CIVIC ASSOCIATION,hood_NORTH LAMAR,hood_NORTH LOOP,hood_NORTH SHOAL CREEK,hood_NORTH UNIVERSITY,hood_OLD ENFIELD,hood_OLD WEST AUSTIN,hood_PARKER LANE,hood_PECAN SPRINGS-SPRINGDALE,hood_PLEASANT VALLEY,hood_RIVERSIDE,hood_RMMA,hood_ROSEDALE,hood_ROSEWOOD,hood_SOUTH LAMAR,hood_SOUTH MANCHACA,hood_SOUTH RIVER CITY,hood_SOUTHEAST,hood_ST. EDWARDS,hood_ST. JOHN,hood_SWEETBRIAR,hood_UNIVERSITY HILLS,hood_UPPER BOGGY CREEK,hood_WEST AUSTIN NEIGHBORHOOD GROUP,hood_WEST CONGRESS,hood_WEST OAK HILL,hood_WEST UNIVERSITY,hood_WESTGATE,hood_WINDSOR HILLS,hood_WINDSOR PARK,hood_WINDSOR ROAD,hood_WOOTEN,hood_ZILKER
1.98,0,True,False,False,False,195.0,26,0,4,1,0,0,0,0,0,3.26666666666667,13,2.0,3,1,1226,8.81759403627579,7.17395831975679,7.2848209125686,169,9.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.98,2,True,True,False,False,309.999,31,0,7,2,0,0,0,0,0,2.9,12,3.0,3,2,1593,8.86799089818209,7.55381085200823,7.33498187887181,36,13.4444444444445,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.98,2,True,True,False,False,427.0,8,0,2,2,2,2,0,1,0,1.23333333333333,15,3.0,4,2,884,9.29569203907569,7.81802793853073,7.15148546390474,1156,64.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.98,2,False,True,True,False,648.0,50,0,6,2,2,2,0,0,0,1.16666666666667,16,3.0,4,2,613,9.33490922072531,7.85088266480985,7.38832785957711,961,81.0,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.98,2,True,True,False,False,219.0,28,0,5,2,1,1,0,0,0,1.9,13,2.0,3,1,854,8.43771698991444,7.14519613499717,7.2848209125686,49,9.0,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.98,0,True,False,False,False,179.9,25,0,0,1,0,0,0,0,0,1.83333333333333,13,2.0,3,1,1597,8.68693596600333,7.08590146436561,7.2848209125686,324,9.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.98,0,True,False,False,False,194.098,9,0,5,1,0,0,0,0,0,3.33333333333333,13,2.0,3,1,1248,8.60263667323371,7.16780918431644,7.2848209125686,64,9.0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.98,1,True,True,False,False,255.7,22,0,3,2,0,0,0,0,0,2.2,13,3.0,4,2,1218,8.71588010229646,7.85205020726589,7.2991214627108,16,7.11111111111113,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.98,2,True,True,False,False,325.0,67,0,4,2,1,1,0,1,0,2.9,12,3.0,4,2,717,8.72290570100077,7.63482067774554,7.33498187887181,36,13.4444444444445,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.98,0,True,False,False,False,225.0,19,0,5,1,0,0,0,0,0,3.3,13,2.0,3,1,1281,9.17232692977797,7.2591161280971,7.2848209125686,144,9.0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
